Entity,Code,Per capita domestic aviation CO2
Afghanistan,AFG,0.0014889831886327847
Algeria,DZA,0.004426574933401561
Angola,AGO,0.0022125202581165216
Argentina,ARG,0.03483374215455382
Australia,AUS,0.26716724250943846
Austria,AUT,0.0036903228740599167
Azerbaijan,AZE,0.00027529438538681066
Bahrain,BHR,0
Bangladesh,BGD,0.0009233643916846934
Belarus,BLR,0
Belgium,BEL,0
Bolivia,BOL,0.027093970519246443
Brazil,BRA,0.04285892023387701
Brunei,BRN,0
Bulgaria,BGR,0.0026575853023188983
Cambodia,KHM,0.0021125239379611027
Canada,CAN,0.16826738009232803
Chile,CHL,0.07045835435034335
China,CHN,0.045205310619984757
Colombia,COL,0.03082432929438571
Costa Rica,CRI,0.0013612839504082526
Croatia,HRV,0.008119856779196792
Cuba,CUB,0.003641713759383718
Czech Republic,CZE,0.00023274673527883896
Democratic Republic of Congo,COD,0.0008022999143161092
Denmark,DNK,0.03200817489568846
Ecuador,ECU,0.012560458925478541
Egypt,EGY,0.0015848542515806096
El Salvador,SLV,0
Ethiopia,ETH,0.0011112293172921644
Fiji,FJI,0.052360952394153545
Finland,FIN,0.037481918769875396
France,FRA,0.06966660845347818
Georgia,GEO,0.000131268383083455
Germany,DEU,0.01837714306555416
Greece,GRC,0.03881752516062027
Hungary,HUN,0.000019400153650784178
Iceland,ISL,0.07132386138474779
India,IND,0.007972188591504297
Indonesia,IDN,0.034391375758639466
Iran,IRN,0.021382574185233594
Iraq,IRQ,0.0015838034671217835
Ireland,IRL,0.0010090622075803282
Israel,ISR,0.006816726727342641
Italy,ITA,0.03713227462296512
Japan,JPN,0.07395850162323113
Jordan,JOR,0.0005201365849548261
Kazakhstan,KAZ,0.034504818837782024
Kenya,KEN,0.00709984541457343
Kuwait,KWT,0
Kyrgyzstan,KGZ,0.003913479581936837
Latvia,LVA,0.0003868612189531921
Lebanon,LBN,0
Libya,LBY,0.0017156717291170525
Luxembourg,LUX,0
Madagascar,MDG,0.0010438529437536337
Malaysia,MYS,0.06028701713377644
Malta,MLT,0
Mauritius,MUS,0.008748151991033938
Mexico,MEX,0.039930935359949855
Moldova,MDA,0
Mongolia,MNG,0.004016521945032791
Morocco,MAR,0.0018507783841222546
Myanmar,MMR,0.0036646632116819
Namibia,NAM,0.0114851819778341
Nepal,NPL,0.003864737696028576
Netherlands,NLD,0.027699046834701056
New Zealand,NZL,0.17418853700189754
Nigeria,NGA,0.001982856383827568
Norway,NOR,0.20923018225393247
Oman,OMN,0.019102660483630483
Pakistan,PAK,0.0015634297102392774
Panama,PAN,0.007718043120096337
Papua New Guinea,PNG,0.020126236419076644
Peru,PER,0.029499431200942058
Philippines,PHL,0.016182882717100375
Poland,POL,0.0028021110309228285
Portugal,PRT,0.04295099481404
Qatar,QAT,0
Romania,ROU,0.004393187765680612
Russia,RUS,0.06334202790210368
Rwanda,RWA,0.00014288784887784176
Saudi Arabia,SAU,0.06524327004638247
Serbia,SRB,0
Singapore,SGP,0
South Africa,ZAF,0.025087300861671543
South Korea,KOR,0.02765079117740549
Spain,ESP,0.061581830058114885
Sri Lanka,LKA,0.0004521292245347167
Suriname,SUR,0
Sweden,SWE,0.0547724798428455
Switzerland,CHE,0.0039147769322546745
Tajikistan,TJK,0.00004323805148041865
Thailand,THA,0.037252982876082044
Trinidad and Tobago,TTO,0.01656537099396172
Tunisia,TUN,0.001413515267115724
Turkey,TUR,0.04241700059022032
Turkmenistan,TKM,0.012910550631182755
Ukraine,UKR,0.0015921549106481495
United Arab Emirates,ARE,0.00013782326081826724
United Kingdom,GBR,0.022481697067492194
United States,USA,0.3855203968376256
Uzbekistan,UZB,0.0016709786163923385
Venezuela,VEN,0.004189343718706577
Vietnam,VNM,0.023589883922615042
World,OWID_WRL,0.03972629621861785